species	feature	count
zTIL11	downstream	84171
zTIL11	downstream_distal	215616
zTIL11	five_prime_UTR	109513
zTIL11	intron	708390
zTIL11	three_prime_UTR	125405
zTIL11	upstream	101714
zTIL11	upstream_distal	275173
zTIL18	downstream	84134
zTIL18	downstream_distal	214642
zTIL18	five_prime_UTR	109439
zTIL18	intron	708229
zTIL18	three_prime_UTR	125431
zTIL18	upstream	101360
zTIL18	upstream_distal	273957
zTIL25	downstream	84028
zTIL25	downstream_distal	214644
zTIL25	five_prime_UTR	109369
zTIL25	intron	707278
zTIL25	three_prime_UTR	125239
zTIL25	upstream	101387
zTIL25	upstream_distal	274073
zdiplg	downstream	83118
zdiplg	downstream_distal	213414
zdiplg	five_prime_UTR	108067
zdiplg	intron	699428
zdiplg	three_prime_UTR	123732
zdiplg	upstream	100512
zdiplg	upstream_distal	271735
zdiplm	downstream	82981
zdiplm	downstream_distal	212627
zdiplm	five_prime_UTR	108048
zdiplm	intron	699905
zdiplm	three_prime_UTR	123629
zdiplm	upstream	100329
zdiplm	upstream_distal	270595
zhuehu	downstream	84326
zhuehu	downstream_distal	215746
zhuehu	five_prime_UTR	109417
zhuehu	intron	707956
zhuehu	three_prime_UTR	125507
zhuehu	upstream	101732
zhuehu	upstream_distal	275010
zluxur	downstream	82302
zluxur	downstream_distal	211597
zluxur	five_prime_UTR	106833
zluxur	intron	693447
zluxur	three_prime_UTR	122576
zluxur	upstream	99281
zluxur	upstream_distal	269352
znicar	downstream	74695
znicar	downstream_distal	197433
znicar	five_prime_UTR	94649
znicar	intron	621368
znicar	three_prime_UTR	108998
znicar	upstream	88781
znicar	upstream_distal	251765
